Name (English),Region of Focus,Language,Entity owner (English),Parent entity (English),Threads account,Threads URL,Threads Follower #
Yang Xinmeng (Abby Yang),Anglosphere,English,China Media Group (CMG),Central Publicity Department,_bubblyabby_,https://www.threads.net/@_bubblyabby_,197.0
Discover Beijing,Anglosphere,English,unknown,unknown,idiscoverbeijing,https://www.threads.net/@idiscoverbeijing,88.0
CGTN Culture,Anglosphere,English,China Media Group (CMG),Central Publicity Department,cgtnculture,https://www.threads.net/@cgtnculture,7.0
CGTN America,USA,English,China Media Group (CMG),Central Publicity Department,cgtnamerica,https://www.threads.net/@cgtnamerica,12300.0
CGTN,Anglosphere,English,China Media Group (CMG),Central Publicity Department,cgtn,https://www.threads.net/@cgtn,69100.0
China Daily,Anglosphere,English,China Daily Press,Central Publicity Department,chinadailynews,https://www.threads.net/@chinadailynews,40200.0
State Council Information Office (SCIO),Anglosphere,English,State Council Information Office (SCIO),State Council,china_scio,https://www.threads.net/@china_scio,77.0
CRI Türkçe,Türkiye,Turkish,China Media Group (CMG),Central Publicity Department,criturkish,https://www.threads.net/@criturkish,493.0
Zhu Danni (Danni Zhu),Anglosphere,English,China Media Group (CMG),Central Publicity Department,iamdanni131,https://www.threads.net/@iamdanni131,15.0
Discover Xinjiang,Xinjiang,English,"Beijing Jiandanshiji Culture Media Co., Ltd",unknown,discoverxinjiang,https://www.threads.net/@discoverxinjiang,73.0
Xinhua Fly Over China,Anglosphere,English,Xinhua News Agency,State Council,flyoverchina,https://www.threads.net/@flyoverchina,3967.0
Haiwai Net (People's Daily Overseas),USA,English,People's Daily Press,Central Committee of the Chinese Communist Party,peoples_daily_overseas,https://www.threads.net/@peoples_daily_overseas,70.0
iChongqing,Chongqing,English,Chongqing International Communication Center,Chongqing Municipal Committee,ichongqing.info,https://www.threads.net/@ichongqing.info,380.0
Discover China,Anglosphere,English,China International Communications Group (CICG),Central Publicity Department,idiscoverchina,https://www.threads.net/@idiscoverchina,2313.0
iPanda,Anglosphere,English,China Media Group (CMG),Central Publicity Department,ipandachannel,https://www.threads.net/@ipandachannel,121000.0
Zang Shijie (Jessica Zang),Anglosphere,English,China Media Group (CMG),Central Publicity Department,jessica_zang1018,https://www.threads.net/@jessica_zang1018,173.0
Li Jingjing,Anglosphere,English,China Media Group (CMG),Central Publicity Department,jj_ontheroad,https://www.threads.net/@jj_ontheroad,950.0
Miao Xiaojuan,Anglosphere,English,Xinhua News Agency,State Council,miaoxiaojuan,https://www.threads.net/@miaoxiaojuan,85.0
People's Daily,China,Chinese,People's Daily Press,Central Committee of the Chinese Communist Party,peoples_daily,https://www.threads.net/@peoples_daily,28200.0
Sixth Tone,Shanghai,English,Shanghai United Media Group (SUMG),Shanghai Municipal Committee,sixthtone,https://www.threads.net/@sixthtone,7821.0
Li Yimei (Vica Li),Anglosphere,English,China Media Group (CMG),Central Publicity Department,learning_chinese_with_vica,https://www.threads.net/@learning_chinese_with_vica,6669.0
Where Zhengzhou,Anglosphere,English,Zhengzhou Media Group,Zhengzhou Municipal Party Committee,wherezhengzhou_,https://www.threads.net/@wherezhengzhou_,40.0
Xu Xinchen (Gerald Xinchen),Anglosphere,English,China Media Group (CMG),Central Publicity Department,xgx91,https://www.threads.net/@xgx91,27.0
Xinhua News Agency,China,Chinese,Xinhua News Agency,State Council,chinaxinhuanews,https://www.threads.net/@chinaxinhuanews,84400.0
Xu Zeyu Philip,Anglosphere,English,Xinhua News Agency,State Council,real_xuzeyu,https://www.threads.net/@real_xuzeyu,4933.0
Zhao Yunfei,Anglosphere,English,China Media Group (CMG),Central Publicity Department,phil_yunfei,https://www.threads.net/@phil_yunfei,24.0
CCTV Chinese,China,Chinese,China Media Group (CMG),Central Publicity Department,cctv.chinese,https://www.threads.net/@cctv.chinese,2647.0
CCTV.com,China,Chinese,China Media Group (CMG),Central Publicity Department,cctv,https://www.threads.net/@cctv,33000.0
Wu Danni (Danni Report),Egypt,English,Xinhua News Agency,State Council,dannitwins01,https://www.threads.net/@dannitwins01,21.0
Phoenix Online,China,Chinese,Phoenix Media Investment (Holdings) Limited,Bauhinia Culture Holdings Limited,ifenglobal,https://www.threads.net/@ifenglobal,50.0
Xing Luana (Luana em Pequim),Brazil,Portuguese,China Media Group (CMG),Central Publicity Department,luanaempequim,https://www.threads.net/@luanaempequim,1035.0
Lü Qianqian (Lucy Lv),Anglosphere,English,China Media Group (CMG),Central Publicity Department,lucylvlist,https://www.threads.net/@lucylvlist,42.0
Li Zexin (Skystroller),Anglosphere,English,Xinhua News Agency,State Council,skystrollerpics,https://www.threads.net/@skystrollerpics,10800.0
Poongothai (அறுசுவை),India,Tamil,China Media Group (CMG),Central Publicity Department,poongothai_tamil,https://www.threads.net/@poongothai_tamil,62.0
Zhengguan Media,Henan,Chinese,Zhengzhou Media Group,Zhengzhou Municipal Party Committee,zhengguanmedia,https://www.threads.net/@zhengguanmedia,115.0
