Name (English),Region of Focus,Language,Entity owner (English),Parent entity (English),TikTok account,TikTok URL,TikTok Subscriber #
Yang Xinmeng (Abby Yang),Anglosphere,English,China Media Group (CMG),Central Publicity Department,_bubblyabby_,https://www.tiktok.com/@_bubblyabby_,660.0
Chen Zhong (Dechinghutay / Ghoti),Afghanistan,Pashto,China Media Group (CMG),Central Publicity Department,dechinghutay,https://www.tiktok.com/@dechinghutay,326100.0
Chinese Embassy in France,France,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ambassadedechine,https://www.tiktok.com/@ambassadedechine,168600.0
Chinese Embassy in Italy,Italy,Italian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ambcina,https://www.tiktok.com/@ambcina,7989.0
Andy Boreham,Shanghai,English,Shanghai United Media Group (SUMG),Shanghai Municipal Committee,andysshanghailife,https://www.tiktok.com/@andysshanghailife,2733.0
Ma Ye (Ayisha Elseenya / عائشة الصينية),MENA,Arabic,China Media Group (CMG),Central Publicity Department,ayishaelseenya,https://www.tiktok.com/@ayishaelseenya,31200.0
Discover Beijing,Anglosphere,English,unknown,unknown,discoverbeijing,https://www.tiktok.com/@discoverbeijing,9009.0
Chinese Consulate General in Belfast,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ccgbelfast,https://www.tiktok.com/@ccgbelfast,16.0
CCTV+,China,Chinese,China Media Group (CMG),Central Publicity Department,cctv_plus,https://www.tiktok.com/@cctv_plus,104.0
CCTV News,China,Chinese,China Media Group (CMG),Central Publicity Department,MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod,https://www.tiktok.com/@MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod,663.0
Chinese Consulate General in Zurich,Switzerland,German,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chinakonsulzurich,https://www.tiktok.com/@chinakonsulzurich,40900.0
Zhang Meifang,UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,cgmeifangzhang,https://www.tiktok.com/@cgmeifangzhang,1071.0
CGTN Arabic,MENA,Arabic,China Media Group (CMG),Central Publicity Department,cgtnarabic,https://www.tiktok.com/@cgtnarabic,66.0
CGTN Europe,EU,English,China Media Group (CMG),Central Publicity Department,cgtneurope,https://www.tiktok.com/@cgtneurope,225800.0
CGTN Français,la Francophonie,French,China Media Group (CMG),Central Publicity Department,MS4wLjABAAAAjFS_QqZGXMn9w7Ey9yZdsc-vjBGL8H8rxtUo37BCPiomar-19ilC2SOU6B2SJ2Fb,https://www.tiktok.com/@MS4wLjABAAAAjFS_QqZGXMn9w7Ey9yZdsc-vjBGL8H8rxtUo37BCPiomar-19ilC2SOU6B2SJ2Fb,168.0
CGTN Russian,Russia,Russian,China Media Group (CMG),Central Publicity Department,cgtn_russian,https://www.tiktok.com/@cgtn_russian,101.0
"Xiamen, China",Fujian,English,Xiamen Culture and Tourism Bureau,Xiamen Municipal People's Government,visitxiamen,https://www.tiktok.com/@visitxiamen,9.0
China Daily,Anglosphere,English,China Daily Press,Central Publicity Department,chinadailyofficial,https://www.tiktok.com/@chinadailyofficial,1300000.0
Chinese Embassy in Rep. of Congo (Brazzaville),Rep. of Congo,French,Ministry of Foreign Affairs,Ministry of Foreign Affairs,ambassadechineaucongo,https://www.tiktok.com/@ambassadechineaucongo,35.0
Chinese Embassy in Russia,Russia,Russian,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chineseembinrus,https://www.tiktok.com/@chineseembinrus,576.0
Chinese Embassy in United Kingdom (UK),UK,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chineseembassyinuk,https://www.tiktok.com/@chineseembassyinuk,139.0
Chinese Embassy in United States,USA,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chineseembassyinus,https://www.tiktok.com/@chineseembassyinus,29200.0
Chinese Consulate General in Johannesburg,South Africa,English,Ministry of Foreign Affairs,Ministry of Foreign Affairs,chnconsulategeneraljhb,https://www.tiktok.com/@chnconsulategeneraljhb,56.0
